frame_idx,timestamp,az,el
0,00:40:47.963732,-1.9807307,1.3763144
1,00:40:48.095104,-1.9611882,1.3874717
2,00:40:48.120913,-1.9618709,1.3779223
3,00:40:48.141122,-1.98298,1.3828073
4,00:40:48.161666,-1.9749271,1.3995593
5,00:40:48.178746,-1.9676892,1.3839359
6,00:40:48.199046,-1.9784006,1.3957778
7,00:40:48.219250,-1.9618078,1.3983233
8,00:40:48.235856,-1.9810253,1.3910588
9,00:40:48.252024,-1.9757531,1.3889582
10,00:40:48.268603,-1.9576459,1.3956995
11,00:40:48.284853,-1.9651417,1.3783947
12,00:40:48.301301,-1.9639665,1.3827906
13,00:40:48.317138,-1.9775352,1.384543
14,00:40:48.332304,-1.9592855,1.3859781
15,00:40:48.348287,-1.9626538,1.3828921
16,00:40:48.364880,-1.963496,1.3874689
17,00:40:48.380425,-1.9537991,1.3906636
18,00:40:48.396528,-1.9703896,1.3929536
19,00:40:48.412545,-1.952877,1.3920382
20,00:40:48.428422,-1.9814601,1.3740181
21,00:40:48.444577,-1.9814754,1.3867157
22,00:40:48.461280,-1.9694017,1.3780096
23,00:40:48.477546,-1.9547477,1.3953855
24,00:40:48.493874,-1.9767003,1.3880746
25,00:40:48.509772,-1.978453,1.3847892
26,00:40:48.525966,-1.9759288,1.3829645
27,00:40:48.541635,-1.971099,1.3881131
28,00:40:48.557610,-1.9665124,1.3808262
29,00:40:48.573841,-1.9660912,1.3930275
30,00:40:48.589634,-1.9725531,1.3861955
31,00:40:48.607453,-1.9722633,1.3888285
32,00:40:48.624067,-1.9785495,1.3807904
33,00:40:48.639532,-1.9740415,1.3809011
34,00:40:48.655557,-1.9834536,1.3911791
35,00:40:48.671720,-1.9647323,1.3958089
36,00:40:48.687504,-1.986048,1.3909919
37,00:40:48.703344,-1.9643373,1.3880988
38,00:40:48.720369,-1.9911628,1.3830292
39,00:40:48.736717,-1.9887531,1.3726544
40,00:40:48.753192,-1.9718149,1.3881156
41,00:40:48.769490,-1.985566,1.37146
42,00:40:48.786606,-1.9674671,1.3887303
43,00:40:48.802597,-1.9730965,1.378038
44,00:40:48.819007,-1.9711436,1.3783454
45,00:40:48.835438,-1.9741887,1.3912326
46,00:40:48.851885,-1.9810333,1.3882322
47,00:40:48.868537,-1.9956789,1.3952755
48,00:40:48.884884,-1.9801157,1.3857634
49,00:40:48.901876,-1.9751803,1.3886757
50,00:40:48.918312,-1.9865844,1.3838687
51,00:40:48.933834,-1.9799244,1.3873209
52,00:40:48.949301,-1.9791052,1.3875715
53,00:40:48.965232,-1.9750026,1.3812964
54,00:40:48.980942,-1.9611133,1.3940408
55,00:40:48.996981,-1.9636135,1.3939102
56,00:40:49.013009,-1.9672056,1.3803236
57,00:40:49.029048,-1.9628181,1.3778408
58,00:40:49.044361,-1.9771099,1.3839707
59,00:40:49.061537,-1.9818773,1.3792597
60,00:40:49.077748,-1.9676992,1.3884728
61,00:40:49.094267,-1.96764,1.3788638
62,00:40:49.110719,-1.9726753,1.388452
63,00:40:49.127178,-1.9802405,1.3804204
64,00:40:49.143367,-1.9780564,1.3900027
65,00:40:49.159551,-1.9704651,1.378003
66,00:40:49.175276,-1.9546871,1.4037402
67,00:40:49.191330,-1.9625372,1.3983566
68,00:40:49.207196,-1.9587066,1.3919051
69,00:40:49.222990,-1.9635481,1.3728937
70,00:40:49.238583,-1.9754606,1.3832781
71,00:40:49.254107,-1.9626567,1.3873501
72,00:40:49.269684,-1.98041,1.3606218
73,00:40:49.286319,-1.9631419,1.3871202
74,00:40:49.303348,-1.9732401,1.3997717
75,00:40:49.320221,-1.9667095,1.3924499
76,00:40:49.337227,-1.9626315,1.3916172
77,00:40:49.353956,-1.9514347,1.3898051
78,00:40:49.371111,-1.9598637,1.3849682
79,00:40:49.388772,-1.9779724,1.3869417
80,00:40:49.406169,-1.9664104,1.3803983
81,00:40:49.423734,-1.9613532,1.3879387
82,00:40:49.441968,-1.9835395,1.3829094
83,00:40:49.459875,-1.9793761,1.3838103
84,00:40:49.477553,-1.9670018,1.3849192
85,00:40:49.494713,-1.9729567,1.3810611
86,00:40:49.511325,-1.9518113,1.3938786
87,00:40:49.528156,-1.9743187,1.3780142
88,00:40:49.545076,-1.982762,1.3827267
89,00:40:49.561737,-1.9766066,1.3835725
90,00:40:49.579065,-1.9565557,1.3846315
91,00:40:49.596285,-1.9685221,1.3825148
92,00:40:49.613507,-1.9679617,1.3789362
93,00:40:49.630096,-1.9629296,1.3789215
94,00:40:49.647463,-1.9792836,1.3841178
95,00:40:49.664417,-1.9750094,1.3768406
96,00:40:49.682480,-1.9800615,1.3857517
97,00:40:49.699467,-1.9724238,1.3781421
98,00:40:49.716302,-1.9613279,1.37855
99,00:40:49.732550,-1.9533571,1.3881922
100,00:40:49.749648,-1.968685,1.3851397
101,00:40:49.767186,-1.9832711,1.3904302
102,00:40:49.783577,-1.9690343,1.3858728
103,00:40:49.800869,-1.9750186,1.3745499
104,00:40:49.818411,-1.964828,1.379693
105,00:40:49.835930,-1.975636,1.3768418
106,00:40:49.853340,-1.9651258,1.3838675
107,00:40:49.870784,-1.9551132,1.3843952
108,00:40:49.889054,-1.9583834,1.3684072
109,00:40:49.907795,-1.9638212,1.379444
110,00:40:49.925883,-1.9703863,1.378514
111,00:40:49.944093,-1.9693371,1.3855066
112,00:40:49.962598,-1.9729252,1.3855503
113,00:40:49.981049,-1.954616,1.3896343
114,00:40:49.998568,-1.971923,1.3906114
115,00:40:50.016314,-1.9764729,1.3816277
116,00:40:50.033540,-1.9667704,1.3807002
117,00:40:50.051392,-1.9628203,1.3951144
118,00:40:50.069091,-1.96222,1.3838038
119,00:40:50.087005,-1.95638,1.3887684
120,00:40:50.105209,-1.9679408,1.3860252
121,00:40:50.123698,-1.9586271,1.3897777
122,00:40:50.142466,-1.9679018,1.3890257
123,00:40:50.161327,-1.9620197,1.3875649
124,00:40:50.179340,-1.9465675,1.3872757
125,00:40:50.197387,-1.9654577,1.384764
126,00:40:50.215322,-1.9640341,1.3881347
127,00:40:50.233737,-1.9753599,1.3819964
128,00:40:50.252202,-1.9674267,1.3884745
129,00:40:50.270635,-1.9640318,1.3853041
130,00:40:50.289472,-1.9701762,1.3771529
131,00:40:50.307744,-1.9712331,1.3926618
132,00:40:50.326381,-1.9847112,1.3889941
133,00:40:50.344989,-1.9484086,1.3888966
134,00:40:50.363965,-1.9794136,1.3847747
135,00:40:50.382104,-1.9722697,1.3742485
136,00:40:50.400544,-1.9671247,1.382118
137,00:40:50.418953,-1.9674749,1.3880053
138,00:40:50.436848,-1.9778204,1.3806417
139,00:40:50.455263,-1.9821053,1.3706043
